host,ip,port,protocol,title,domain,country,city,link,as_organization
https://95.84.159.64:5001,95.84.159.64,5001,https,,,RU,Dolgoprudnyy,https://95.84.159.64:5001,Rostelecom
https://95.84.159.64:5001,95.84.159.64,5001,https,,,RU,Dolgoprudnyy,https://95.84.159.64:5001,Rostelecom
https://78.85.26.25:5001,78.85.26.25,5001,https,,,RU,Izhevsk,https://78.85.26.25:5001,Rostelecom
https://178.46.154.190:8001,178.46.154.190,8001,https,,,RU,Tyumen',https://178.46.154.190:8001,Rostelecom
178.216.180.10:23,178.216.180.10,23,telnet,,,RU,Krasnodar,,LLC Powernet
178.216.180.8:23,178.216.180.8,23,telnet,,,RU,Krasnodar,,LLC Powernet
89.175.189.68:23,89.175.189.68,23,telnet,,,RU,Moscow,,MTS PJSC
46.138.249.13:23,46.138.249.13,23,telnet,,,RU,Vostochnyy,,PJSC Moscow city telephone network
https://93.81.237.67:2030,93.81.237.67,2030,https,,,RU,Moscow,https://93.81.237.67:2030,PVimpelCom
https://93.81.237.67:2030,93.81.237.67,2030,https,,,RU,Moscow,https://93.81.237.67:2030,PVimpelCom
87.229.248.6:548,87.229.248.6,548,afp,,,RU,Moscow,,PVimpelCom
178.216.180.9:23,178.216.180.9,23,telnet,,,RU,Krasnodar,,LLC Powernet
https://94.230.3.6:9043,94.230.3.6,9043,https,,,RU,Moscow,https://94.230.3.6:9043,JSC Avantel
https://94.230.3.6:9043,94.230.3.6,9043,https,,,RU,Moscow,https://94.230.3.6:9043,JSC Avantel
https://46.48.61.45:50030,46.48.61.45,50030,https,,,RU,Yekaterinburg,https://46.48.61.45:50030,LLC KomTehCentr
https://85.236.190.8:5003,85.236.190.8,5003,https,,,RU,Samara,https://85.236.190.8:5003,LLC Sip nis
94.243.129.3:548,94.243.129.3,548,afp,,,RU,Moscow,,Capital Telecom Limited Company
https://178.141.72.168,178.141.72.168,443,https,,,RU,Kirov,https://178.141.72.168,MTS PJSC
https://95.181.130.253,95.181.130.253,443,https,,,RU,Barnaul,https://95.181.130.253,JSC Avantel
https://95.67.172.57,95.67.172.57,443,https,,,RU,Tolyatti,https://95.67.172.57,Rostelecom
https://82.149.153.230,82.149.153.230,443,https,,,RU,Murmansk,https://82.149.153.230,PJSC MegaFon
https://5.227.67.189,5.227.67.189,443,https,,,RU,Velikiy Novgorod,https://5.227.67.189,MTS PJSC
https://178.216.180.10,178.216.180.10,443,https,,,RU,Krasnodar,https://178.216.180.10,LLC Powernet
https://31.128.157.13,31.128.157.13,443,https,,,RU,Volzhskiy,https://31.128.157.13,LLC Powernet
https://31.128.157.13,31.128.157.13,443,https,,,RU,Volzhskiy,https://31.128.157.13,LLC Powernet
https://178.216.180.9,178.216.180.9,443,https,,,RU,Krasnodar,https://178.216.180.9,LLC Powernet
https://82.149.143.254,82.149.143.254,443,https,,,RU,Murmansk,https://82.149.143.254,PJSC MegaFon
https://178.216.180.8,178.216.180.8,443,https,,,RU,Krasnodar,https://178.216.180.8,LLC Powernet
https://82.149.143.254,82.149.143.254,443,https,,,RU,Murmansk,https://82.149.143.254,PJSC MegaFon
https://178.216.180.8,178.216.180.8,443,https,,,RU,Krasnodar,https://178.216.180.8,LLC Powernet
https://178.216.180.9,178.216.180.9,443,https,,,RU,Krasnodar,https://178.216.180.9,LLC Powernet
https://95.67.172.57:5003,95.67.172.57,5003,https,404 Not Found,,RU,Tolyatti,https://95.67.172.57:5003,Rostelecom
https://95.67.172.57:5003,95.67.172.57,5003,https,,,RU,Tolyatti,https://95.67.172.57:5003,Rostelecom
https://193.35.48.90:503,193.35.48.90,503,https,404 Not Found,,RU,Rostov-na-Donu,https://193.35.48.90:503,"Timer, LLC"
https://193.35.48.90:503,193.35.48.90,503,https,,,RU,Rostov-na-Donu,https://193.35.48.90:503,"Timer, LLC"
178.206.233.196:5353,178.206.233.196,5353,mdns,,,RU,Chelny,,Pjsc tattelecom
https://188.242.196.27:5003,188.242.196.27,5003,https,404 Not Found,,RU,Murino,https://188.242.196.27:5003,SkyNet Ltd.
https://188.242.196.27:5003,188.242.196.27,5003,https,,,RU,Murino,https://188.242.196.27:5003,SkyNet Ltd.
https://77.232.55.102:5003,77.232.55.102,5003,https,404 Not Found,,RU,Saint Petersburg,https://77.232.55.102:5003,JSC Severen-Telecom
https://77.232.55.102:5003,77.232.55.102,5003,https,,,RU,Saint Petersburg,https://77.232.55.102:5003,JSC Severen-Telecom
https://5.17.87.182:5003,5.17.87.182,5003,https,404 Not Found,,RU,Kronshtadt,https://5.17.87.182:5003,JSC ER-Telecom Holding
https://5.17.87.182:5003,5.17.87.182,5003,https,,,RU,Kronshtadt,https://5.17.87.182:5003,JSC ER-Telecom Holding
https://93.171.100.49:5003,93.171.100.49,5003,https,404 Not Found,,RU,Angarsk,https://93.171.100.49:5003,Zavod RTA Ltd.
https://93.171.100.49:5003,93.171.100.49,5003,https,,,RU,Angarsk,https://93.171.100.49:5003,Zavod RTA Ltd.
https://194.50.141.54:5003,194.50.141.54,5003,https,404 Not Found,,RU,Zvenigorod,https://194.50.141.54:5003,Objedinennye Seti Ltd.
https://194.50.141.54:5003,194.50.141.54,5003,https,,,RU,Zvenigorod,https://194.50.141.54:5003,Objedinennye Seti Ltd.
https://80.71.252.210,80.71.252.210,443,https,404 Not Found,,RU,Serpukhov,https://80.71.252.210,Rial Com JSC
https://80.71.252.210,80.71.252.210,443,https,,,RU,Serpukhov,https://80.71.252.210,Rial Com JSC
https://80.71.252.210:5003,80.71.252.210,5003,https,404 Not Found,,RU,Serpukhov,https://80.71.252.210:5003,Rial Com JSC
https://80.71.252.210:5003,80.71.252.210,5003,https,,,RU,Serpukhov,https://80.71.252.210:5003,Rial Com JSC
https://79.134.192.206:5003,79.134.192.206,5003,https,404 Not Found,,RU,Saint Petersburg,https://79.134.192.206:5003,OBIT Ltd.
https://79.134.192.206:5003,79.134.192.206,5003,https,,,RU,Saint Petersburg,https://79.134.192.206:5003,OBIT Ltd.
https://82.149.150.228,82.149.150.228,443,https,,,RU,Murmansk,https://82.149.150.228,PJSC MegaFon
https://82.149.150.228,82.149.150.228,443,https,,,RU,Murmansk,https://82.149.150.228,PJSC MegaFon
